N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,0.500000,2,KOUQ,1.324097,0.576329,0.471920
10,0.500000,2,KOUQ,1.383448,0.677744,0.463910
15,0.500000,2,KOUQ,1.393430,0.687518,0.461893
20,0.500000,2,KOUQ,1.397040,0.696964,0.460585
25,0.500000,2,KOUQ,1.399407,0.695392,0.459900
30,0.500000,2,KOUQ,1.406013,0.712974,0.460793
35,0.500000,2,KOUQ,1.406666,0.707684,0.459523
40,0.500000,2,KOUQ,1.413721,0.722740,0.459948
5,0.500000,3,KOUQ,1.376544,0.649567,0.491740
10,0.500000,3,KOUQ,1.422814,0.717124,0.486980
15,0.500000,3,KOUQ,1.443855,0.743742,0.486573
20,0.500000,3,KOUQ,1.447242,0.751202,0.488945
25,0.500000,3,KOUQ,1.457295,0.777840,0.487032
30,0.500000,3,KOUQ,1.452418,0.756228,0.487563
35,0.500000,3,KOUQ,1.462367,0.767482,0.488391
40,0.500000,3,KOUQ,1.456808,0.763155,0.486405
5,0.500000,4,KOUQ,1.382042,0.657148,0.498900
10,0.500000,4,KOUQ,1.449244,0.760275,0.496360
15,0.500000,4,KOUQ,1.460200,0.761591,0.495540
20,0.500000,4,KOUQ,1.467907,0.771635,0.497310
25,0.500000,4,KOUQ,1.472472,0.783023,0.496588
30,0.500000,4,KOUQ,1.476890,0.790907,0.494203
35,0.500000,4,KOUQ,1.477193,0.793156,0.496906
40,0.500000,4,KOUQ,1.477430,0.796991,0.496105
